timestamp,scenario,user_personality,condition,bot_llm,user_llm,repetition,filename,emotional_charge,syntactic_complexity,dialectic_density,total_words,avg_processing_time_s
20250710,convergente,conciliador,bot,chatgpt,chatgpt,1,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-1.csv,0.9474,31.3196,8.2645,1331,2.4456
20250710,convergente,conciliador,bot,chatgpt,chatgpt,10,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-10.csv,0.7553,28.9574,6.6390,1205,2.5653
20250710,convergente,conciliador,bot,chatgpt,chatgpt,2,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-2.csv,0.6196,25.1542,3.5273,1134,1.8535
20250710,convergente,conciliador,bot,chatgpt,chatgpt,3,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-3.csv,0.5455,24.5712,8.2850,1207,2.1321
20250710,convergente,conciliador,bot,chatgpt,chatgpt,4,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-4.csv,0.8800,22.0570,8.4388,1185,2.1747
20250710,convergente,conciliador,bot,chatgpt,chatgpt,5,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-5.csv,0.6702,27.2848,5.7190,1224,2.2251
20250710,convergente,conciliador,bot,chatgpt,chatgpt,6,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-6.csv,0.8302,12.8974,5.1591,1163,1.9811
20250710,convergente,conciliador,bot,chatgpt,chatgpt,7,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-7.csv,0.8404,23.7644,12.9032,1240,2.2621
20250710,convergente,conciliador,bot,chatgpt,chatgpt,8,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-8.csv,0.6374,27.1999,3.3278,1202,2.5492
20250710,convergente,conciliador,bot,chatgpt,chatgpt,9,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-9.csv,0.6809,26.0772,9.0610,1214,2.7676
20250710,convergente,conciliador,bot,deepseek,deepseek,1,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-deepseek_user-deepseek_rep-1.csv,0.4177,8.8996,18.8375,1858,11.4641
20250710,convergente,conciliador,bot,deepseek,deepseek,10,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-deepseek_user-deepseek_rep-10.csv,0.6757,6.5621,16.4835,2002,10.3258
20250710,convergente,conciliador,bot,deepseek,deepseek,2,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-deepseek_user-deepseek_rep-2.csv,0.5541,9.5414,27.3733,1717,10.1399
20250710,convergente,conciliador,bot,deepseek,deepseek,3,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-deepseek_user-deepseek_rep-3.csv,0.4483,12.4282,24.4898,1715,9.9818
20250710,convergente,conciliador,bot,deepseek,deepseek,4,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-deepseek_user-deepseek_rep-4.csv,0.7703,6.5154,16.4803,1699,9.5425
20250710,convergente,conciliador,bot,deepseek,deepseek,5,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-deepseek_user-deepseek_rep-5.csv,0.4667,4.8477,19.0736,1835,10.1589
20250710,convergente,conciliador,bot,deepseek,deepseek,6,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-deepseek_user-deepseek_rep-6.csv,0.4337,5.7988,22.2102,1846,9.9492
20250710,convergente,conciliador,bot,deepseek,deepseek,7,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-deepseek_user-deepseek_rep-7.csv,0.4324,6.1223,17.1821,2037,10.2763
20250710,convergente,conciliador,bot,deepseek,deepseek,8,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-deepseek_user-deepseek_rep-8.csv,0.5479,3.1851,19.8456,1814,9.9725
20250710,convergente,conciliador,bot,deepseek,deepseek,9,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-deepseek_user-deepseek_rep-9.csv,0.4868,5.9690,24.7553,1737,10.3417
20250710,convergente,conciliador,bot,gemini,gemini,1,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-gemini_user-gemini_rep-1.csv,0.3276,24.0029,22.9120,1353,3.1810
20250710,convergente,conciliador,bot,gemini,gemini,10,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-gemini_user-gemini_rep-10.csv,0.3947,26.4897,16.9492,1356,3.0305
20250710,convergente,conciliador,bot,gemini,gemini,2,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-gemini_user-gemini_rep-2.csv,0.3924,23.7152,19.4805,924,3.0194
20250710,convergente,conciliador,bot,gemini,gemini,3,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-gemini_user-gemini_rep-3.csv,0.3933,22.9084,23.2089,991,2.9777
20250710,convergente,conciliador,bot,gemini,gemini,4,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-gemini_user-gemini_rep-4.csv,0.4333,24.4813,16.3776,1038,3.0309
