escenario,user_llm,bot_llm,metrica,media_exp,std_exp,n_exp,media_ctrl,std_ctrl,n_ctrl,t_statistic,p_value,p_value_formatted,significativo_p<0.05
convergente,chatgpt,chatgpt,ICCA,-0.0613,0.2763,10,-0.1277,0.2269,10,0.5866,0.5650,0.565,False
convergente,chatgpt,chatgpt,Latencia (s),2.2956,0.2837,10,,,0,,,na,False
convergente,deepseek,deepseek,ICCA,-0.7442,0.2175,10,-0.5295,0.5974,10,-1.0678,0.3078,0.308,False
convergente,deepseek,deepseek,Latencia (s),10.2153,0.4986,10,,,0,,,na,False
convergente,gemini,gemini,ICCA,-0.5914,0.0669,10,-0.7117,0.1966,10,1.8304,0.0943,0.094,False
convergente,gemini,gemini,Latencia (s),3.0437,0.0551,10,,,0,,,na,False
divergente,chatgpt,chatgpt,ICCA,0.5069,0.0866,10,0.6185,0.1133,10,-2.4749,0.0243,0.024,True
divergente,chatgpt,chatgpt,Latencia (s),1.8061,0.6831,10,,,0,,,na,False
divergente,deepseek,deepseek,ICCA,-0.1625,0.1898,10,0.7164,0.2297,10,-9.3280,0.0000,< .001,True
divergente,deepseek,deepseek,Latencia (s),12.5243,0.7698,10,,,0,,,na,False
divergente,gemini,gemini,ICCA,0.1295,0.1105,10,0.9571,0.1747,10,-12.6604,0.0000,< .001,True
divergente,gemini,gemini,Latencia (s),3.0118,0.0499,10,,,0,,,na,False
